id	timestamp	importReference	waybill	itemCode	itemDescription	binLocation	relocatedBin	qtyReceived	qtyGrn	difference	archived_at
1175	2026-01-14T11:40:28-05:00	25-10339	WEB9OXUC2347	29601479	RING	RD40A		20	0	20	2026-01-14T16:42:10
1177	2026-01-14T16:10:17-05:00	25-10315	NL205780096	55089266	FILTER ELEMENT	RB63A		14	0	14	NULL
1178	2026-01-14T16:11:17-05:00	25-10315	NL205780096	55051165	FILTER ELEMENT	RC31B		39	0	39	NULL
1179	2026-01-14T16:11:52-05:00	25-10315	NL205780096	BR00074204	FUEL PRE-FILTER	RA40A		20	0	20	NULL
1180	2026-01-14T16:12:39-05:00	25-10315	NL205780096	55089271	SAFETY CARTRIDGE	RD51C		33	0	33	NULL
1181	2026-01-14T16:13:03-05:00	25-10315	NL205780096	77021173	FILTER	RC51A		6	5	1	NULL
1182	2026-01-14T16:13:24-05:00	25-10315	NL205780096	73700709	SCREW HM18X50	RA31A		11	119	-108	NULL
1183	2026-01-14T16:13:46-05:00	25-10315	NL205780096	55044377	LOCK NUT	EB6A		138	65	73	NULL
1184	2026-01-14T16:14:21-05:00	25-10315	NL205780096	56040822	SAFETY ELEMENT	RC41B		28	0	28	NULL
1185	2026-01-14T16:14:58-05:00	25-10315	NL205780096	56040822	SAFETY ELEMENT	RC41B		1	0	29	NULL
1186	2026-01-14T16:15:23-05:00	25-10315	NL205780096	55071761	OIL FILTER	RB31C		15	15	0	NULL
1187	2026-01-14T16:17:04-05:00	25-10315	NL205780096	55025293	SEAL KIT	RA71B		12	3	9	NULL
1188	2026-01-14T21:17:48	25-10315	NL205780096	55199140	ROCK DRILL PISTON	RA41C		1	0	1	NULL
1189	2026-01-14T16:18:14-05:00	25-10315	NL205780096	02972760	PIN, LOCKING	RC20A		2	0	2	NULL
1190	2026-01-14T16:18:36-05:00	25-10315	NL205780096	BG00785048	SEAT BELT SWITCH	RD41A		2	0	2	NULL
1191	2026-01-14T16:26:27-05:00	25-10315	NL205780096	77021174	FILTER	RC41A		10	10	0	NULL
1192	2026-01-14T21:27:10	25-10315	NL205780096	56006066	ELEMENT, FILTER	RD40B		5	5	0	NULL
1193	2026-01-14T16:31:12-05:00	25-10315	NL205780096	71199602	FUEL FILTER	RC31A		26	0	26	NULL
1194	2026-01-14T16:31:35-05:00	25-10315	NL205780096	71199602	FUEL FILTER	RC31A		26	0	52	NULL
1195	2026-01-14T16:31:53-05:00	25-10315	NL205780096	71199602	FUEL FILTER	RC31A		26	0	78	NULL
1196	2026-01-14T16:32:28-05:00	25-10315	NL205780096	71199602	FUEL FILTER	RC31A		26	0	104	NULL
1197	2026-01-14T16:32:46-05:00	25-10315	NL205780096	71199602	FUEL FILTER	RC31A		26	0	130	NULL
1198	2026-01-14T16:33:50-05:00	25-10315	NL205780096	71199602	FUEL FILTER	RC31A		26	0	156	NULL
